行号	实体id	需要哪个官方表的哪一列/公式	我们这边的来源(文件:行 或 "空")	判据
4226	tbl:Affix(301 id)|id=125	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:126	公式求值相等
4227	tbl:Affix(301 id)|id=126	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:127	公式求值相等
4228	tbl:Affix(301 id)|id=127	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:128	公式求值相等
4229	tbl:Affix(301 id)|id=128	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:129	公式求值相等
4230	tbl:Affix(301 id)|id=129	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:130	公式求值相等
4231	tbl:Affix(301 id)|id=130	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:131	公式求值相等
4232	tbl:Affix(301 id)|id=131	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:132	公式求值相等
4233	tbl:Affix(301 id)|id=132	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:133	公式求值相等
4234	tbl:Affix(301 id)|id=133	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:134	公式求值相等
4235	tbl:Affix(301 id)|id=134	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:135	公式求值相等
4236	tbl:Affix(301 id)|id=135	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:136	公式求值相等
4237	tbl:Affix(301 id)|id=136	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:137	公式求值相等
4238	tbl:Affix(301 id)|id=137	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:138	公式求值相等
4239	tbl:Affix(301 id)|id=138	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:139	公式求值相等
4240	tbl:Affix(301 id)|id=139	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:140	公式求值相等
4241	tbl:Affix(301 id)|id=140	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:141	公式求值相等
4242	tbl:Affix(301 id)|id=141	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:142	公式求值相等
4243	tbl:Affix(301 id)|id=142	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:143	公式求值相等
4244	tbl:Affix(301 id)|id=143	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:144	公式求值相等
4245	tbl:Affix(301 id)|id=144	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:145	公式求值相等
4246	tbl:Affix(301 id)|id=145	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:146	公式求值相等
4247	tbl:Affix(301 id)|id=146	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:147	公式求值相等
4248	tbl:Affix(301 id)|id=147	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:148	公式求值相等
4249	tbl:Affix(301 id)|id=148	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:149	公式求值相等
4250	tbl:Affix(301 id)|id=149	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:150	公式求值相等
4251	tbl:Affix(301 id)|id=150	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:151	公式求值相等
4252	tbl:Affix(301 id)|id=151	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:152	公式求值相等
4253	tbl:Affix(301 id)|id=152	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:153	公式求值相等
4254	tbl:Affix(301 id)|id=153	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:154	公式求值相等
4255	tbl:Affix(301 id)|id=154	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:155	公式求值相等
4256	tbl:Affix(301 id)|id=155	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:156	公式求值相等
4257	tbl:Affix(301 id)|id=156	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:157	公式求值相等
4258	tbl:Affix(301 id)|id=157	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:158	公式求值相等
4259	tbl:Affix(301 id)|id=158	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:159	公式求值相等
4260	tbl:Affix(301 id)|id=159	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:160	公式求值相等
4261	tbl:Affix(301 id)|id=160	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:161	公式求值相等
4262	tbl:Affix(301 id)|id=161	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:162	公式求值相等
4263	tbl:Affix(301 id)|id=162	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:163	公式求值相等
4264	tbl:Affix(301 id)|id=163	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:164	公式求值相等
4265	tbl:Affix(301 id)|id=164	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:165	公式求值相等
4266	tbl:Affix(301 id)|id=165	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:166	公式求值相等
4267	tbl:Affix(301 id)|id=166	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:167	公式求值相等
4268	tbl:Affix(301 id)|id=167	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:168	公式求值相等
4269	tbl:Affix(301 id)|id=168	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:169	公式求值相等
4270	tbl:Affix(301 id)|id=169	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:170	公式求值相等
4271	tbl:Affix(301 id)|id=170	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:171	公式求值相等
4272	tbl:Affix(301 id)|id=171	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:172	公式求值相等
4273	tbl:Affix(301 id)|id=172	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:173	公式求值相等
4274	tbl:Affix(301 id)|id=173	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:174	公式求值相等
4275	tbl:Affix(301 id)|id=174	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:175	公式求值相等
4276	tbl:Affix(301 id)|id=175	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:176	公式求值相等
4277	tbl:Affix(301 id)|id=176	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:177	公式求值相等
4278	tbl:Affix(301 id)|id=177	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:178	公式求值相等
4279	tbl:Affix(301 id)|id=178	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:179	公式求值相等
4280	tbl:Affix(301 id)|id=179	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:180	公式求值相等
4281	tbl:Affix(301 id)|id=180	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:181	公式求值相等
4282	tbl:Affix(301 id)|id=181	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:182	公式求值相等
4283	tbl:Affix(301 id)|id=182	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:183	公式求值相等
4284	tbl:Affix(301 id)|id=183	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:184	公式求值相等
4285	tbl:Affix(301 id)|id=184	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:185	公式求值相等
4286	tbl:Affix(301 id)|id=185	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:186	公式求值相等
4287	tbl:Affix(301 id)|id=186	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:187	公式求值相等
4288	tbl:Affix(301 id)|id=187	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:188	公式求值相等
4289	tbl:Affix(301 id)|id=188	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:189	公式求值相等
4290	tbl:Affix(301 id)|id=189	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:190	公式求值相等
4291	tbl:Affix(301 id)|id=190	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:191	公式求值相等
4292	tbl:Affix(301 id)|id=191	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:192	公式求值相等
4293	tbl:Affix(301 id)|id=192	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:193	公式求值相等
4294	tbl:Affix(301 id)|id=193	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:194	公式求值相等
4295	tbl:Affix(301 id)|id=194	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:195	公式求值相等
4296	tbl:Affix(301 id)|id=195	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:196	公式求值相等
