# 差异登记（只允许「允许的差异」；四要素缺一 = 未登记 = 不许交付）
# 口径：逐条搬运自 策划/验收表.md 的「允许的差异」区（行匹配 ^\|\s*\*{0,2}E\d+，= tools/verify.ps1 的 allow-diff-registry 检查口径）
#       + 本目录 extra-registry.tsv 的「手工登记」补充源（主 agent 裁决、验收表冻结不许改的那些，如 E42）
# 生成脚本：tools/probes/enumerate/enum_all.py
# 生成时间：见 .ai-tmp/test/t0-red-rows.md
# 维度码表：D1资源 D2几何 D3材质 D4UI D5动画 D6特效 D7音乐 D8音效 D9碰撞 D10逻辑 D11输入 D12流程 S1数值 S2性能 S3设置
是什么	为什么	出处	何时消除
**E41**（新登记，2026-09-21 · **契约变更，本轮授权**） · **契约新增 `IPlayerModule.TrySpendMana(int)`**：施法扣蓝原先**没有入口** ⇒ 技能施放**不扣法力**（静默缺陷，用户可见）	实测：施放前 `mana=13/13` → 施放后 **`11/13`**（技能 `mana=2`）；`x_evidence_run1.txt`：`[X] E4-CAST=skillId=121 ok=1 knownLevel=3 **manaAfter=11/13** cooldownAfter=0.25`；`SkillModule` 施法链改为**先 `TrySpendMana` 成功才继续**（不足 ⇒ 拒绝 + 留日志）	契约：`client/Assets/Scripts/Module/Contracts.cs:1077`；接线：`client/Assets/Scripts/Module/Player/PlayerModule.cs` + `client/Assets/Scripts/Module/Skill/SkillModule.cs`；离线断言：`tools/probes/hosts/{combatcheck,playercheck,itemcheck}`（本轮同步补，见 `w1_host_combatcheck.txt`）；实机 = `.ai-tmp/screenshots/x_e4_cast_a.png` ｜ 登记行：策划/验收表.md:881	**不消除**（扣蓝入口是必要的契约面）；若主 agent 认为该 API 该归别的模块，改签名即可（面 = 契约 1 行 + 3 个调用点）
**E42**（主 agent 裁决，2026-09-21） · 原版原生"平色/模板"PNG 与**从不被请求**的帧：`Objects/warp` 81 张（帧 0..80，唯一色 #004430）/ `Objects/town_trees` 6 张（帧 76..80+83）/ `Objects/town_fence` 1 张（帧 27）/ `UI/MiniMap` 8 张（`mapicon_0..7`，原版白色模板 #F4F4F4）/ `UI/SkillIcon` 100 张亮绿帧（`barSkillicon_60..155` 96 张 + `SkilliconAttack_20..23` 4 张，唯一色 #18FC00）；另含 `Objects/moor_river/028`（其布局引用已由 E32 白名单不叠）	这些 PNG 的**不透明唯一色 = 1**（平色/模板，不是"自绘占位"）：`Objects/{warp,town_trees,town_fence}` 的平色帧**一个都不在**区域布局的逐格引用集内（warp 引用 0 帧；town_trees 引用 26 帧而平色帧 = {76,77,78,79,80,83}；town_fence 引用 27 帧而平色帧 = {27}）；`UI/SkillIcon` 的亮绿帧**从未被任何帧号请求**（请求帧 = `{cls}Skillicon_{2×index(+灰化)}`，`Skill.tsv` 每职业 30 技能 ⇒ 帧 ∈ 0..59，与亮绿帧 bar 60..155 / SkilliconAttack_20..23 不相交）；`Objects/moor_river/028` 被布局引用，已被 R1-B 白名单不叠（= E32）	`tools/probes/enumerate/d3_flatcolor.py`（重跑 ⇒ `.ai-tmp/test/d3-flatcolor.txt`，VERDICT OK，断言全过）；请求帧公式出处 `client/Assets/Scripts/UI/D2Icon.cs:194-204` + `client/Assets/Scripts/Core/ResPaths.cs:337-342`（唯一按帧号取技能图标的入口）；`SkilliconAttack` 只按基名请求 ⇒ `Core/ResPaths.cs:149` + `UI/HudPanel.cs:460-461`（全工程 .cs 里 `SkilliconAttack_` 0 命中）；布局引用枚举自 `client/Assets/Scripts/Module/Map/MapGen{Town,Wild,Cave}Layout.cs`；唯一色判据 = `tools/probes/enumerate/fill_offline.py::fill_d3`	拿到原版对应 `.d2s`/`.dc6` 的调色板循环（或改为"只导出被请求帧"）后复核；在此之前这些帧既不参与落格、也不被任何帧号请求 ⇒ 对成品画面 0 影响
**E43** · ~~**`MapView.ShowArea→RebuildLayers` 整图重铺在一帧内铺完**（非增量路径，修前实测单帧 40.5~77.4 ms / 27.4·26.0 µs/GO、Town nodes=2824 p50=58714us max=77423us）~~ ⇒ **已消除（2026-09-21 t0-fix-stage-visible-verify 实机复采）**：单帧预算**达标**（Town 整图重铺每帧推进 p50=5619.9µs / p99=10369.4µs / max=14234.6µs，SwapToBuilt 帧 3690.3µs，RebuildPeakNodesPerFrame=512 ≤ 常量 512，最差单帧 / 一帧预算 16666.7µs = 0.854×），**且画面黑屏同步修好**（2026-09-21 t0-fix-stage-visible-verify 实机复采）：TileNodePool.Take **取出即 SetActive(true)** + MarkJobChunkBuilt 逐块复活块根 + SwapToBuilt 切换前 ActivateChunkRoots 兜底 ⇒ Stage 全屏 mean_lum **0.1107（=28.2/255）**（改前近全黑 5.42/255；同机位 t0i_diag_stage_asis.png）、wholeMapView_activeSR=2567（改前 0）、ground_activeSR=2210、object_activeSR=357	上一棒把本条的理由写成「该路径拆帧会露空（无旧画面可留）⇒ 只能一帧铺完」——**这个理由被它自己的实测推翻**：`[T0E] REPAVE` 共 5 次，其中 **4 次**落在玩家可操作期（`fsm=Stage` 且 `uiLoading=0`：Town 进图后 2 次贴图到位重铺 + 1 次换区（`ShowLoading/HideLoading` 同帧闭合、进度条渲染 0 帧）+ 1 次换区贴图到位重铺）⇒「用户此前投诉的移动抖动/卡」= 每帧掉 3~5 帧。而「拆帧会露空」**只对「没有旧画面」成立**：三条触发路径**都有旧画面**（换区 = 旧区地图 / 贴图到位 = 旧图 / 迷雾开关 = 旧迷雾态）。T0FIX-H 的修法 = **整图双缓冲 + 每帧节点预算 + 一帧原子切换 + 分帧回收旧集**：新图整幅建在**隐藏**的缓冲层根（`GroundLayerB`/`ObjectLayerB`/`OverlayLayerB`）上（每帧新建节点 ≤ 512、扫描格 ≤ 1024），建满后才**一帧**切换（6 次**层根** `SetActive`，⛔ 不逐个节点动），旧集再按同一预算分帧归还池 ⇒ **任何中间帧上屏幕要么是完整的旧图、要么是完整的新图**（⛔ 不露空 / 不半张 / 不闪帧）；画面逐像素不变（一格的状态仍是 `GroundState/ObjectState/FogState` 纯函数；块序仍 cx 外层/cy 内层、块内仍 x 外层/y 内层 ⇒ 兄弟序不变）	`Module/Map/MapView.cs`（类头 T0FIX-H 段 + `MaxTileNodesPerFrame`/`MaxTileCellsPerFrame`/`FrameAccepts`/`PlannedChunks`/`PlanCell`/`PumpRebuild`/`SwapToBuilt`/`PumpRetire`/`RebuildImmediate` 保底）；离线判据 = `dotnet run --project tools/probes/hosts/mapcheck -c Release` 的 §19（预算算式 / 三区域逐格成本→帧序模拟 / 显式不露空模拟 / 逐格 6 字段两次求值相等 / 切换帧零逐节点操作）与 §17（池化与增量口径未放宽）；修前基线 = `.ai-tmp/screenshots/t0b_evidence.txt` 的 `SPIKE-SHOWAREA` 行 + `.ai-tmp/screenshots/t0e_evidence.txt` 的 `[T0E] REPAVE`/`REPAVE-SUMMARY` 行 + `策划/状态矩阵.tsv` 的 `perf:帧时间(ms/frame)` 行	**已消除（2026-09-21 t0-fix-stage-visible-verify 实机复采）**：判据 = .ai-tmp/screenshots/t0i_diag_evidence.txt 的 DIAG-A（wholeMapView_totalSR=5134 **wholeMapView_activeSR=2567** gRoot_activeChildren=12 chunk0_activeSelf=1 chunk0Tile0_activeInHierarchy=1）+ 同机位全屏 t0i_diag_stage_asis.png（mean_lum **0.1107 = 28.2/255**，改前近全黑 5.42/255；DIAG-B 强制激活后同为 0.1107 ⇒ 已无需强制）+ .ai-tmp/screenshots/t0i_evidence.txt 的 [T0I] PUMP-SUMMARY（帧时间侧 max=14234.6µs ≤ 16666.7µs、swapFrameUs=3690.3µs）+ 换区后 t0i_areachange_after.png（meanLum=0.074 可见）；消除动作 = TileNodePool.Take 取出即 SetActive(true)（与 Return 严格配对）+ MarkJobChunkBuilt 逐块复活块根 + SwapToBuilt 切换前 ActivateChunkRoots 兜底（client/Assets/Scripts/Module/Map/{MapView,TileNodePool}.cs）
**E44**（新登记，fake-green-citation-audit 片，2026-09-22） · **`monumod_c`（精英词缀表）里 7 个列是"占位"**：`ac_mul`（护甲倍率）+ `res_phys` / `res_magic` / `res_fire` / `res_light` / `res_cold` / `res_poison`（6 条抗性）= **7 列 × 18 行 = 126 格**，统一填 `ac_mul = 1.0`、`res_* = 0`（**不是**从官方表抽出的数值，是本项目写的占位）	官方 `MonUMod.txt`（43 行）**没有定义"护甲倍率"与"抗性加成"这两类常数**：官方表只给 `constants` 列 + `*constant desc` 列里的 `hp%` / `dmg%` 型常量（`convert.py` 按 desc 文本匹配成 `hp_mul` / `dmg_mul`）；`ac_mul` / `res_*` 在原版引擎里是**硬编码**（不在 txt 里）⇒ 官方载体抽不到 ⇒ 只能填占位。⛔ 这**不是**"看起来合理"的自造值，而是"官方载体缺失 ⇒ 占位 + 登记"	`docs/配表说明.md:180`（官方 `MonUMod.txt` 没有定义护甲倍率 / 抗性加成常数（原版引擎里硬编码）⇒ 官方表里抽不到，非手抄值，是占位）+ `tools/table-convert/convert.py:57-58`（官方 MonUMod.txt 没有定义"护甲倍率"与"抗性加成"常数，这两项在原版引擎里是硬编码，故 `ac_mul` 填 1.0、`res_*` 填 0 —— 这是登记在案的占位）+ `tools/probes/measure/s1_common.py:360-361` 的 `EXPECTED_NO_CARRIER["monumod"] = {id, name, ac_mul, res_phys, res_magic, res_fire, res_light, res_cold, res_poison}`（把"官方无对手列"钉成断言；口径见同文件 `:345-348` `no_official_carrier_fields`）｜ 登记行：`策划/差异登记.tsv` E44（本片新增；monumod 占位列不构成验收表的系统行，故无对应 `验收表:NNN`）	拿到官方 `MonUMod.txt`（或反汇编出错的原版引擎硬编码）后按 `tools/probes/measure/s1_value_diff.py` 逐格判定；若官方确实无此列 ⇒ **永久保留**（并保持 `s1_common.EXPECTED_NO_CARRIER["monumod"]` 的"无对手"集合不变 —— 改它 = 放宽判据）
**E45**（新登记，automap-render-fix 片，2026-09-22） · **原版 automap 的「逐格选取规则」与「揭示粒度」本机无载体 ⇒ 本项目用可复跑规则定死**：① 同一 `(LevelName, Style, Seq)` 在 `AutoMap.txt` 里常多行命中（13 个 `TileName` 家族名），4 个变体 `Cel1..Cel4` 又各成一形 ⇒ 本项目取「文件里最先出现的相容行 + 该行第一个 `CelN ≥ 0`」；② 揭示（已探索）粒度 = 「本格 + 8 邻域」（原版按房间：地板先、墙后；本项目 `GridMap` 只有 `TileKind`、没有房间层）；③ 标记图标的帧号语义：`mapicons.DC6` 8 帧是只用索引 32 的白色模板、本机没有语义映射表 ⇒ 统一帧 0 + 本项目色调；④ 叠加层底色不透明度 0.78（原版该值无载体）	① 原版选取规则不在本机载体里：`AutoMap.txt` 只给候选行 / 候选 Cel，DT1 头里没有 type/style 字段（`[16]` 全 0），本机也没有原版引擎源码 —— 三条反读路径（按层过滤后 127 个真实键里仍 59 个歧义 / 最大覆盖 / DT1 头）都未能唯一定死（逐条实测见 `.ai-tmp/test/automap-plan.md` 第 2 节）；②③④ 同理：没有房间层 / 没有语义表 / 没有 alpha 载体	口径与实测 `.ai-tmp/test/automap-plan.md` 第 1.3 / 1.4 节与第 2 节；规则实现 `tools/probes/gen_automap.py`（文件头）+ 产物 `client/Assets/Scripts/Core/AutoMapCel.generated.cs`；面板侧 `client/Assets/Scripts/UI/MiniMapPanel.cs`（RevealPlayer = 本格 + 8 邻域、BuildMarkers = 帧 0 + 色调、BackdropAlpha = 0.78）	① 拿到原版逐格 automap 的选取规则（反汇编或可引用文档）；② 拿到原版房间层（`Levels.txt` / `.ds1` 的房间划分）后按房间揭示；③ 拿到 `mapicons.DC6` 的帧号语义映射；④ 拿到原版 automap 叠加层的不透明度值。⛔ 本条是登记在案的残余差异（不是「已消除」）
**E46**（新登记，d2fix 收口轮 2026-09-22） · **「原版 D2 相机有无跟随滞后」这一项的出处缺失**：本轮按用户明说的「消除抖动」目标把跟随改成**临界阻尼 + 小时间常数**（`FollowSmoothTime` 0.12 → 0.02，`CameraMath.SmoothDamp`），而**无法证明原版 D2 相机带不带跟随滞后**（也就无法证明 0.02 是不是原版值）	本机 `原版资源/参考工程_Diablerie/` 只有 `d2lod1.10txt` 数据表，**没有** `Engine/CameraController.cs`（全盘检索 0 命中；`CameraRig` 旧注释里引的 `CameraController.cs:38-41` 在本仓不存在）⇒ 原版相机的滞后 / 阻尼参数无载体可查	`client/Assets/Scripts/Module/Camera/CameraRig.cs` 的 `FollowSmoothTime` 注释（写明取值理由 = 用户目标，不是原版值）；判据 = `tools/probes/hosts/playercheck` 的相机节 + 真机 `.ai-tmp/test/cam-jitter-after.tsv`（见 `策划/验收表.md` 的收口轮节）｜ 登记行：`.ai-tmp/test/impact-radius.tsv` 的「相机跟随抖动」行	拿到原版 D2 相机脚本 / 反汇编 / 可引用文档后按原版参数定夺（改动面 = `CameraRig.FollowSmoothTime` 一处常量）
**E47**（新登记，d2fix 收口轮 2026-09-22） · **角色武器外观的分档口径：原「按 `wclass`（武器大类）分档」作废，原版实为按「具体武器 code」分档**（COF 的 RH / LH / SH 三层各按该件物品自己的 code 取层图）	本轮只读取证实测（`.ai-tmp/test/d2char-probe/naming-report.txt` / `equip-report.txt`）：同 `wclass` 的不同 code 是**不同**的层图 ⇒ 按 wclass 做会张冠李戴（同属剑类的短剑 / 弯刀 / 巨剑各是各自的图）；项目内「按 wclass 选层」的实现（`Module/View/SpriteFrames.cs`）**尚未改到按 code 分档**（该改动在飞：片 `impl-weapon-export`）	`client/资源欠缺清单.md` #32（装备外观层缺口）+ `.ai-tmp/test/d2char-probe/naming-report.txt` / `equip-report.txt`（命名实测）｜ 登记行：`.ai-tmp/test/impact-radius.tsv`（本轮武器外观尚未改动任何矩阵行）	**已消除（2026-09-23 · 登记项复核片 H 复核确认）**：`client/Assets/Scripts/Module/View/EquipVisual.cs` 文件头口径 = 目录 `Chars/{class}/equip/{key}`、`key` 由**物品 code** 拼（`"{weapon}_{shield}"`）；生成物 `client/Assets/Scripts/Module/View/EquipFrameCounts.generated.cs` 在盘；取图入口 `client/Assets/Scripts/Module/View/SpriteFrames.cs:229 Keys(PlayerClass cls, string equipKey, ViewAnim anim, Dir8 dir)`；素材实测 `client/Assets/Resources/Clover/D2/Chars/{amazon,barbarian,necromancer,paladin,sorceress}/equip/**` = 1411~4233 文件/职业 ⇒ 原登记的「`SpriteFrames` 尚未改到按 code 分档」**已不成立**
**E48**（新登记，2026-09-23 片 W 回补） · **面板按钮的禁用态没有专用底图**：`UiArt` 三处 `disabledSprite = normal`（`client/Assets/Scripts/UI/UiArt.cs:473` 单帧路径 / `:674` 条带兜底 / `:1096` 条带路径）⇒ 禁用只灰化文字（`ButtonTextDisabled`），底图仍是常态帧。原版 `btn_wide` / `btn_med` 条带本项目只导 3 帧（`client/Assets/Scripts/Core/ResPaths.cs:209/212 FrameCountMenuButtonMedium/Wide = 3` = 常态/悬停/按下），**禁用帧未导出**	`策划/验收表.md` 全文「禁用」原本 0 命中、`策划/差异登记.tsv` 原本 0 命中 ⇒ 属未登记项；本项目只登记过「禁用态**文字色**」、未登记「禁用态**底图**」	`client/Assets/Scripts/UI/UiArt.cs:473,674,1096`；`client/Assets/Scripts/Core/ResPaths.cs:209,212` ｜ 登记行：策划/验收表.md（「允许的差异」E48 ~ E51 新增登记节）	① 从原版 DCC/DC6 导出禁用帧（若原版确有）⇒ 三处同改；② 或按「原版也无禁用底图」永久保留（需原版实机截图佐证）
**E49**（新登记，2026-09-23 片 W 回补） · **`audio/bgm_mute` / `audio/sfx_mute` 有读写点但无 UI 入口**：`AudioModule` 读写齐全（读 `:329-330` / 写 `:384-385`）+ 冷启动读回（`LoadVolumeFromSettings`），但 `client/Assets/Scripts/UI/SettingsPanel.cs` 里两键命中 0（面板仅 bgm/sfx 音量 ± / 全屏 / 画质）	`client/Assets/Scripts/Module/Audio/AudioModule.cs:31-33` 文件头自陈「⛔ 目前没有 UI 调用方（原版 SoundOptions 素材侧无逐帧出处），按「A 没有的不加」不新增 UI 元件」，判据走 `[T0] S3-MUTE`；但本条原本未落在 `策划/差异登记.tsv`	`client/Assets/Scripts/Module/Audio/AudioModule.cs:31-33,329-330,384-385`；`client/Assets/Scripts/UI/SettingsPanel.cs` ｜ 登记行：策划/验收表.md（E48 ~ E51 新增登记节）	拿到原版 `Menu/SoundOptions` 素材后接静音开关；或维持「不加 UI」并保留本条
**E50**（新登记，2026-09-23 片 W 回补） · **引擎能力未用（6 条合并登记）**：`TileNodePool` 不用 `Game.Pool` / `SaveJson` 写侧不用引擎 `MiniJson` / `D2ConfirmPanel` 不用 `Game.UI.Confirm`（引擎外观硬编码 760×420 + 蓝色） / `Game.Entity/Pool.ClearAll()` 是空动作 / `Table` 两条读取路径（`TableLoader` 与生成壳 `Tables.Default.*`） / 11 处自定义日志降频不用 `LogThrottle`	各文件注释里理由扎实（引擎外观不可注入、自写 JSON 可离线验），但**一条都没进「允许的差异」**（skill §1.11 第 4 条：例外必须登记）	`client/Assets/Scripts/Module/Save/SaveJson.cs:8-17,627-650`；`client/Assets/Scripts/UI/D2ConfirmPanel.cs:9,36,41`；`client/Assets/Scripts/Module/Flow/AppFlow.cs:1514,1562-1567`；`client/Assets/Scripts/Core/Log.cs:26-38`；`client/Assets/Scripts/Table/TableLoader.cs:11-20,90-102` ｜ 登记行：策划/验收表.md（E48 ~ E51 新增登记节）	逐条按 `.ai-tmp/test/AUDIT-SUMMARY.md` §3.2 修，或永久保留本条
**E51**（新登记，2026-09-23 片 W 回补） · **设置范围边界**：本项目只做 6 个设置键（`audio/bgm_volume` / `audio/sfx_volume` / `audio/bgm_mute` / `audio/sfx_mute` / `video/fullscreen` / `video/quality`）；**不做**分辨率 / 键位 / 语言	代码内设置键枚举仅 6 个 ⇒ 三类设置**不存在**；属范围决定，不是缺陷	`.ai-tmp/test/audit_A_s3_out.txt` ｜ 登记行：策划/验收表.md（E48 ~ E51 新增登记节）	无（范围决定；若主 agent 改范围则重开）
**S-08 裁决**（审计假红登记 · ⛔ **本条不是「允许的差异」**，是审计结论更正登记，2026-09-23 片 T 复核 + 片 W 落盘） · **`AUDIT-SUMMARY.md` S-08 的「出入口自环刷屏 39069 条 + 出口静默失效」两个结论，前者归因错、后者不成立**：39069 条来自**探针自己**重复发同区过门请求（`tools/probes/drivers/auditd_drive.cs:1109-1118` 与 `sfx_drive.cs:564-565`）——探针日志里自己写了 `AREA-SWITCH=Events.ExitEntered(BloodMoor) -- the same production event PlayerModule.CheckExit emits`；生产端 `PlayerModule.CheckExit` 有 `_lastExitGrid` 同格去重（`client/Assets/Scripts/Module/Player/PlayerModule.cs:720-727,1005-1028`），**从不发同区请求**	同日真「踩到出入口」= **6 条且 6 次都真的换了区**（`client/Logs/2026-09-23.log` 行 4134/4661/200190/200671/201197/201369）⇒「出口静默失效（走到出口不换图）」**不成立**；⛔ 但「两道闸门判据不同源」**是真事实**（已由片 T 修：`AppFlow.EnterArea` 改为与 `PlayerModule.CheckExit` 同源 + Warn 限频，见下条证据）	`.ai-tmp/test/report-T.md` §1.1（逐条复算原文）；判据产物 `.ai-tmp/test/T-flowcheck-run.txt`（4 条 S-08 断言 EXIT=0）+ `.ai-tmp/test/T-movecheck-run.txt`（§8：可走上出口 6 / 未触发 0 / 自环出口 0）	已裁决（2026-09-23）：① 刷屏归因已于本条更正；② 出口行为已由片 T 修好并有限频；③ **遗留** = 探针侧（`auditd_drive.cs` / `sfx_drive.cs`）重复发同区请求**未修**（不在片 T/W 白名单）⇒ 建议派片改驱动或把「探针故意发同区请求」登记为已知

# appended by gate-close2 2026-09-23 14:36:23 : the 5 newly-registered allowed differences 
**E52**（新登记，2026-09-23 gate-close2 轮） · **传送小站 / 神殿 / 篣火 / 传送门**整功能未做（原版有、本机缺）：全仓无 `TileKind`、无生成器、无资源引用 ⇒ 不是“没接上”而是整功能不存在；`策划/验收表.md` 已登记 **S-40**（待裁决），本条把它按「允许的差异」口径正式登记	原版 D2 有传送小站（Waypoint）与神殿 / 篣火等可交互物；本机无载体（无 `TileKind` 枚举、无生成入口）⇒ 属范围未做，非缺陷	出处 = `.ai-tmp/test/report-C3.md`（“传送点没效果”逐条核实：全仓无 Waypoint 物件）+ `策划/验收表.md` 的 **S-40** 行	① 裁决后由 `Module/Map` 生成传送物件 + `UI` 面板，并把 S-40 改为实现；② 或永久保留本条（需玩家明确可不做）
**E53**（新登记，2026-09-23 gate-close2 轮） · **选中怪物的高亮 / 闪白机制出处缺失**（原版有反馈、本机不可见）：`ViewModule.ApplyFlash` 是 `Color.Lerp(底色, 白, 0.85)`，而真素材视图底色本就是 `Color.white` ⇒ 对白底 sprite = 恒等变换（实机可见受击反馈另有四件：原版 `hit_*` 动作帧 / 反向位移 / 伤害数字 / 血量变化）	当前已登记为 **E31-②** + **BL-9**（闪白机制出处缺失）；本条把「选中高亮 / 闪白」这个**用户可见缺口**与它合并登记，以免只在代码注释里出现（skill §1.11 第 4 条：例外必须登记）	出处 = `.ai-tmp/test/report-C3.md`（“选中怪物没有选择效果”一行）+ `策划/差异登记.tsv` 的 **E31-②** 行 + `策划/验收表.md` 的 BL-9	拿到原版「受击闪白」机制出处（调色板替换 / 白剪影）或放开原版贴图 Read/Write 后按帧生成白剪影（只改 `ApplyFlash` 一处）；短期不会自行消除
**E54**（新登记，2026-09-23 gate-close2 轮） · **automap 揭示口径 = 「本格 + 8 邻域」**（原版按房间级记忆式已探索，本项目 `GridMap` 无房间层）：⇒ 打开 automap 时“看不到一整张已走过的图”，只能看到当前格周围一圈	原版揭示粒度的载体在本机不存在（无逐房间已探索状态）⇒ 属「本项目新增近似」，写在代码里不算登记	出处 = `策划/差异登记.tsv` 的 **E23**（第 ④ 项）+ `.ai-tmp/test/report-U4.md`（§揭示粒度）+ `.ai-tmp/test/report-V6.md`（⑤ automap 复审）	由 `Module/Map` 提供逐格已探索状态（`MiniMapPanel` 目前拿不到）后改成记忆式；当前不会自行消除
**E55**（新登记，2026-09-23 gate-close2 轮） · **逐类怪物的脚步音 / 受击音素材未到位**：`AudioHook.OnPlayerGridChanged` 只订阅**玩家**的 `Events.PlayerGridChanged` ⇒ 怪物侧 0 触发点；受击音同样缺逐类素材（已登记 C3-1 / C3-2 / C3-3）	属「素材未到位」而非代码缺陷（阈值 / 钥位需逐类对应）；未登记则与 skill §1.11 第 4 条冲突	出处 = `.ai-tmp/test/report-C3.md`（C3-1 / C3-2 / C3-3 三条）+ `.ai-tmp/test/report-C4.md`（sfx 同族）	拿到原版逐类音素材（本机 `原版资源/` 已有 mpq 路径）并按类埋点后消除
**E56**（新登记，2026-09-23 gate-close2 轮） · **武器外观只导了「起始装备相关套」**（未按 code 逐件导）：与 **E47**（原按 `wclass` 分档作废、改为按具体武器 code 分档）同源：当前实际导入的层图只覆盖起始装备那几件，其余 code 按同一杆径逐件跑「按 code 取层图」时将拿不到图	导出量受本轮时间盒限制，不是没有机制（`d2char-*` 探针与导出器已在盘）；属「未完成的导出」，必须登记	出处 = `.ai-tmp/test/report-weapon-export.md` + `策划/差异登记.tsv` 的 **E47** 行 + `.ai-tmp/test/d2char-char-layers.tsv` / `d2char-weapon-equip.tsv`	按 code 逐件跑完导出（与 E47 同一次消除）
