# 状态矩阵（T0 全量覆盖）—— 行数必须 == 实体清单的 Σ状态数
# 口径：状态取**枚举值 + 边界值**（阈值上下各一 / 0 / 上限 / 超界）；⛔ 不取"任意帧"、⛔ 不做笛卡尔全组合
# 「实测 / 结论 / 证据」三列本片**故意留空** = 红行（先出表后修，判据由后续按维度的片填）
# 生成脚本：tools/probes/enumerate/enum_all.py
# 生成时间：见 .ai-tmp/test/t0-red-rows.md
# 维度码表：D1资源 D2几何 D3材质 D4UI D5动画 D6特效 D7音乐 D8音效 D9碰撞 D10逻辑 D11输入 D12流程 S1数值 S2性能 S3设置
维度	实体	状态/事件	边界值	期望表现(出处)	实测	结论	证据
D2几何	tile:Tiles/moor_objects/012	存在（瓦片文件在盘）	阈值: 0 个文件 = 缺瓦片	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2326 (键 moor_objects/012  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/012.png)	盘上存在 client/Assets/Resources/Clover/D2/Tiles/moor_objects/012.png（7152 字节）	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/012.png
D2几何	tile:Tiles/moor_objects/012	尺寸/朝向（manifest w h orientation）	边界: orientation 0 / 上限 15	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2326 (键 moor_objects/012  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/012.png)	manifest w×h=160×128 orientation=0；PNG 头部 160×128	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/manifest.json:190 (tile idx=12) + client/Assets/Resources/Clover/D2/Tiles/moor_objects/012.png
D2几何	tile:Tiles/moor_objects/012	落格生成（在区域 layout 中被引用）	阈值: 被引用 0 格 = 未接线	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2326 (键 moor_objects/012  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/012.png)	被区域布局引用 1 处（client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2326）	一致	client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2326
D2几何	tile:Tiles/moor_objects/013	存在（瓦片文件在盘）	阈值: 0 个文件 = 缺瓦片	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2322 (键 moor_objects/013  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/013.png)	盘上存在 client/Assets/Resources/Clover/D2/Tiles/moor_objects/013.png（6882 字节）	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/013.png
D2几何	tile:Tiles/moor_objects/013	尺寸/朝向（manifest w h orientation）	边界: orientation 0 / 上限 15	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2322 (键 moor_objects/013  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/013.png)	manifest w×h=160×128 orientation=0；PNG 头部 160×128	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/manifest.json:208 (tile idx=13) + client/Assets/Resources/Clover/D2/Tiles/moor_objects/013.png
D2几何	tile:Tiles/moor_objects/013	落格生成（在区域 layout 中被引用）	阈值: 被引用 0 格 = 未接线	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2322 (键 moor_objects/013  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/013.png)	被区域布局引用 1 处（client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2322）	一致	client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2322
D2几何	tile:Tiles/moor_objects/014	存在（瓦片文件在盘）	阈值: 0 个文件 = 缺瓦片	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2321 (键 moor_objects/014  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/014.png)	盘上存在 client/Assets/Resources/Clover/D2/Tiles/moor_objects/014.png（7388 字节）	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/014.png
D2几何	tile:Tiles/moor_objects/014	尺寸/朝向（manifest w h orientation）	边界: orientation 0 / 上限 15	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2321 (键 moor_objects/014  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/014.png)	manifest w×h=160×128 orientation=0；PNG 头部 160×128	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/manifest.json:226 (tile idx=14) + client/Assets/Resources/Clover/D2/Tiles/moor_objects/014.png
D2几何	tile:Tiles/moor_objects/014	落格生成（在区域 layout 中被引用）	阈值: 被引用 0 格 = 未接线	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2321 (键 moor_objects/014  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/014.png)	被区域布局引用 1 处（client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2321）	一致	client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2321
D2几何	tile:Tiles/moor_objects/015	存在（瓦片文件在盘）	阈值: 0 个文件 = 缺瓦片	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2320 (键 moor_objects/015  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/015.png)	盘上存在 client/Assets/Resources/Clover/D2/Tiles/moor_objects/015.png（7065 字节）	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/015.png
D2几何	tile:Tiles/moor_objects/015	尺寸/朝向（manifest w h orientation）	边界: orientation 0 / 上限 15	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2320 (键 moor_objects/015  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/015.png)	manifest w×h=160×128 orientation=0；PNG 头部 160×128	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/manifest.json:244 (tile idx=15) + client/Assets/Resources/Clover/D2/Tiles/moor_objects/015.png
D2几何	tile:Tiles/moor_objects/015	落格生成（在区域 layout 中被引用）	阈值: 被引用 0 格 = 未接线	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2320 (键 moor_objects/015  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/015.png)	被区域布局引用 1 处（client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2320）	一致	client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2320
D2几何	tile:Tiles/moor_objects/016	存在（瓦片文件在盘）	阈值: 0 个文件 = 缺瓦片	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2058 (键 moor_objects/016  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/016.png)	盘上存在 client/Assets/Resources/Clover/D2/Tiles/moor_objects/016.png（7160 字节）	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/016.png
D2几何	tile:Tiles/moor_objects/016	尺寸/朝向（manifest w h orientation）	边界: orientation 0 / 上限 15	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2058 (键 moor_objects/016  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/016.png)	manifest w×h=160×128 orientation=0；PNG 头部 160×128	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/manifest.json:262 (tile idx=16) + client/Assets/Resources/Clover/D2/Tiles/moor_objects/016.png
D2几何	tile:Tiles/moor_objects/016	落格生成（在区域 layout 中被引用）	阈值: 被引用 0 格 = 未接线	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2058 (键 moor_objects/016  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/016.png)	被区域布局引用 1 处（client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2058）	一致	client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2058
D2几何	tile:Tiles/moor_objects/017	存在（瓦片文件在盘）	阈值: 0 个文件 = 缺瓦片	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2057 (键 moor_objects/017  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/017.png)	盘上存在 client/Assets/Resources/Clover/D2/Tiles/moor_objects/017.png（7087 字节）	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/017.png
D2几何	tile:Tiles/moor_objects/017	尺寸/朝向（manifest w h orientation）	边界: orientation 0 / 上限 15	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2057 (键 moor_objects/017  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/017.png)	manifest w×h=160×128 orientation=0；PNG 头部 160×128	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/manifest.json:280 (tile idx=17) + client/Assets/Resources/Clover/D2/Tiles/moor_objects/017.png
D2几何	tile:Tiles/moor_objects/017	落格生成（在区域 layout 中被引用）	阈值: 被引用 0 格 = 未接线	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2057 (键 moor_objects/017  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/017.png)	被区域布局引用 1 处（client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2057）	一致	client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2057
D2几何	tile:Tiles/moor_objects/018	存在（瓦片文件在盘）	阈值: 0 个文件 = 缺瓦片	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2054 (键 moor_objects/018  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/018.png)	盘上存在 client/Assets/Resources/Clover/D2/Tiles/moor_objects/018.png（7391 字节）	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/018.png
D2几何	tile:Tiles/moor_objects/018	尺寸/朝向（manifest w h orientation）	边界: orientation 0 / 上限 15	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2054 (键 moor_objects/018  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/018.png)	manifest w×h=160×128 orientation=0；PNG 头部 160×128	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/manifest.json:298 (tile idx=18) + client/Assets/Resources/Clover/D2/Tiles/moor_objects/018.png
D2几何	tile:Tiles/moor_objects/018	落格生成（在区域 layout 中被引用）	阈值: 被引用 0 格 = 未接线	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2054 (键 moor_objects/018  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/018.png)	被区域布局引用 1 处（client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2054）	一致	client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2054
D2几何	tile:Tiles/moor_objects/019	存在（瓦片文件在盘）	阈值: 0 个文件 = 缺瓦片	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2054 (键 moor_objects/019  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/019.png)	盘上存在 client/Assets/Resources/Clover/D2/Tiles/moor_objects/019.png（7513 字节）	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/019.png
D2几何	tile:Tiles/moor_objects/019	尺寸/朝向（manifest w h orientation）	边界: orientation 0 / 上限 15	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2054 (键 moor_objects/019  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/019.png)	manifest w×h=160×128 orientation=0；PNG 头部 160×128	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/manifest.json:316 (tile idx=19) + client/Assets/Resources/Clover/D2/Tiles/moor_objects/019.png
D2几何	tile:Tiles/moor_objects/019	落格生成（在区域 layout 中被引用）	阈值: 被引用 0 格 = 未接线	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2054 (键 moor_objects/019  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/019.png)	被区域布局引用 1 处（client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2054）	一致	client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2054
D2几何	tile:Tiles/moor_objects/020	存在（瓦片文件在盘）	阈值: 0 个文件 = 缺瓦片	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2047 (键 moor_objects/020  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/020.png)	盘上存在 client/Assets/Resources/Clover/D2/Tiles/moor_objects/020.png（7178 字节）	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/020.png
D2几何	tile:Tiles/moor_objects/020	尺寸/朝向（manifest w h orientation）	边界: orientation 0 / 上限 15	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2047 (键 moor_objects/020  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/020.png)	manifest w×h=160×128 orientation=0；PNG 头部 160×128	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/manifest.json:334 (tile idx=20) + client/Assets/Resources/Clover/D2/Tiles/moor_objects/020.png
D2几何	tile:Tiles/moor_objects/020	落格生成（在区域 layout 中被引用）	阈值: 被引用 0 格 = 未接线	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2047 (键 moor_objects/020  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/020.png)	被区域布局引用 1 处（client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2047）	一致	client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2047
D2几何	tile:Tiles/moor_objects/021	存在（瓦片文件在盘）	阈值: 0 个文件 = 缺瓦片	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2046 (键 moor_objects/021  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/021.png)	盘上存在 client/Assets/Resources/Clover/D2/Tiles/moor_objects/021.png（7398 字节）	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/021.png
D2几何	tile:Tiles/moor_objects/021	尺寸/朝向（manifest w h orientation）	边界: orientation 0 / 上限 15	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2046 (键 moor_objects/021  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/021.png)	manifest w×h=160×128 orientation=0；PNG 头部 160×128	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/manifest.json:352 (tile idx=21) + client/Assets/Resources/Clover/D2/Tiles/moor_objects/021.png
D2几何	tile:Tiles/moor_objects/021	落格生成（在区域 layout 中被引用）	阈值: 被引用 0 格 = 未接线	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2046 (键 moor_objects/021  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/021.png)	被区域布局引用 1 处（client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2046）	一致	client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2046
D2几何	tile:Tiles/moor_objects/022	存在（瓦片文件在盘）	阈值: 0 个文件 = 缺瓦片	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2344 (键 moor_objects/022  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/022.png)	盘上存在 client/Assets/Resources/Clover/D2/Tiles/moor_objects/022.png（7489 字节）	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/022.png
D2几何	tile:Tiles/moor_objects/022	尺寸/朝向（manifest w h orientation）	边界: orientation 0 / 上限 15	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2344 (键 moor_objects/022  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/022.png)	manifest w×h=160×128 orientation=0；PNG 头部 160×128	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/manifest.json:370 (tile idx=22) + client/Assets/Resources/Clover/D2/Tiles/moor_objects/022.png
D2几何	tile:Tiles/moor_objects/022	落格生成（在区域 layout 中被引用）	阈值: 被引用 0 格 = 未接线	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2344 (键 moor_objects/022  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/022.png)	被区域布局引用 1 处（client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2344）	一致	client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2344
D2几何	tile:Tiles/moor_objects/023	存在（瓦片文件在盘）	阈值: 0 个文件 = 缺瓦片	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2343 (键 moor_objects/023  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/023.png)	盘上存在 client/Assets/Resources/Clover/D2/Tiles/moor_objects/023.png（8014 字节）	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/023.png
D2几何	tile:Tiles/moor_objects/023	尺寸/朝向（manifest w h orientation）	边界: orientation 0 / 上限 15	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2343 (键 moor_objects/023  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/023.png)	manifest w×h=160×128 orientation=0；PNG 头部 160×128	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/manifest.json:388 (tile idx=23) + client/Assets/Resources/Clover/D2/Tiles/moor_objects/023.png
D2几何	tile:Tiles/moor_objects/023	落格生成（在区域 layout 中被引用）	阈值: 被引用 0 格 = 未接线	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2343 (键 moor_objects/023  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/023.png)	被区域布局引用 1 处（client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2343）	一致	client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2343
D2几何	tile:Tiles/moor_objects/024	存在（瓦片文件在盘）	阈值: 0 个文件 = 缺瓦片	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2342 (键 moor_objects/024  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/024.png)	盘上存在 client/Assets/Resources/Clover/D2/Tiles/moor_objects/024.png（7507 字节）	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/024.png
D2几何	tile:Tiles/moor_objects/024	尺寸/朝向（manifest w h orientation）	边界: orientation 0 / 上限 15	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2342 (键 moor_objects/024  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/024.png)	manifest w×h=160×128 orientation=0；PNG 头部 160×128	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/manifest.json:406 (tile idx=24) + client/Assets/Resources/Clover/D2/Tiles/moor_objects/024.png
D2几何	tile:Tiles/moor_objects/024	落格生成（在区域 layout 中被引用）	阈值: 被引用 0 格 = 未接线	判据出处：client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2342 (键 moor_objects/024  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/024.png)	被区域布局引用 1 处（client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2342）	一致	client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2342
D2几何	tile:Tiles/moor_objects/025	存在（瓦片文件在盘）	阈值: 0 个文件 = 缺瓦片	判据出处：client/Assets/Scripts/Module/Map/MapGenTownLayout.cs:160 (键 moor_objects/025  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/025.png)	盘上存在 client/Assets/Resources/Clover/D2/Tiles/moor_objects/025.png（7133 字节）	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/025.png
D2几何	tile:Tiles/moor_objects/025	尺寸/朝向（manifest w h orientation）	边界: orientation 0 / 上限 15	判据出处：client/Assets/Scripts/Module/Map/MapGenTownLayout.cs:160 (键 moor_objects/025  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/025.png)	manifest w×h=160×128 orientation=0；PNG 头部 160×128	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/manifest.json:424 (tile idx=25) + client/Assets/Resources/Clover/D2/Tiles/moor_objects/025.png
D2几何	tile:Tiles/moor_objects/025	落格生成（在区域 layout 中被引用）	阈值: 被引用 0 格 = 未接线	判据出处：client/Assets/Scripts/Module/Map/MapGenTownLayout.cs:160 (键 moor_objects/025  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/025.png)	被区域布局引用 2 处（client/Assets/Scripts/Module/Map/MapGenTownLayout.cs:160、client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2335）	一致	client/Assets/Scripts/Module/Map/MapGenTownLayout.cs:160
D2几何	tile:Tiles/moor_objects/026	存在（瓦片文件在盘）	阈值: 0 个文件 = 缺瓦片	判据出处：client/Assets/Scripts/Module/Map/MapGenTownLayout.cs:160 (键 moor_objects/026  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/026.png)	盘上存在 client/Assets/Resources/Clover/D2/Tiles/moor_objects/026.png（7762 字节）	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/026.png
D2几何	tile:Tiles/moor_objects/026	尺寸/朝向（manifest w h orientation）	边界: orientation 0 / 上限 15	判据出处：client/Assets/Scripts/Module/Map/MapGenTownLayout.cs:160 (键 moor_objects/026  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/026.png)	manifest w×h=160×128 orientation=0；PNG 头部 160×128	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/manifest.json:442 (tile idx=26) + client/Assets/Resources/Clover/D2/Tiles/moor_objects/026.png
D2几何	tile:Tiles/moor_objects/026	落格生成（在区域 layout 中被引用）	阈值: 被引用 0 格 = 未接线	判据出处：client/Assets/Scripts/Module/Map/MapGenTownLayout.cs:160 (键 moor_objects/026  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/026.png)	被区域布局引用 2 处（client/Assets/Scripts/Module/Map/MapGenTownLayout.cs:160、client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2334）	一致	client/Assets/Scripts/Module/Map/MapGenTownLayout.cs:160
D2几何	tile:Tiles/moor_objects/027	存在（瓦片文件在盘）	阈值: 0 个文件 = 缺瓦片	判据出处：client/Assets/Scripts/Module/Map/MapGenTownLayout.cs:139 (键 moor_objects/027  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/027.png)	盘上存在 client/Assets/Resources/Clover/D2/Tiles/moor_objects/027.png（7541 字节）	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/027.png
D2几何	tile:Tiles/moor_objects/027	尺寸/朝向（manifest w h orientation）	边界: orientation 0 / 上限 15	判据出处：client/Assets/Scripts/Module/Map/MapGenTownLayout.cs:139 (键 moor_objects/027  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/027.png)	manifest w×h=160×128 orientation=0；PNG 头部 160×128	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/manifest.json:460 (tile idx=27) + client/Assets/Resources/Clover/D2/Tiles/moor_objects/027.png
D2几何	tile:Tiles/moor_objects/027	落格生成（在区域 layout 中被引用）	阈值: 被引用 0 格 = 未接线	判据出处：client/Assets/Scripts/Module/Map/MapGenTownLayout.cs:139 (键 moor_objects/027  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/027.png)	被区域布局引用 2 处（client/Assets/Scripts/Module/Map/MapGenTownLayout.cs:139、client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2333）	一致	client/Assets/Scripts/Module/Map/MapGenTownLayout.cs:139
D2几何	tile:Tiles/moor_objects/028	存在（瓦片文件在盘）	阈值: 0 个文件 = 缺瓦片	判据出处：client/Assets/Scripts/Module/Map/MapGenTownLayout.cs:166 (键 moor_objects/028  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/028.png)	盘上存在 client/Assets/Resources/Clover/D2/Tiles/moor_objects/028.png（7671 字节）	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/028.png
D2几何	tile:Tiles/moor_objects/028	尺寸/朝向（manifest w h orientation）	边界: orientation 0 / 上限 15	判据出处：client/Assets/Scripts/Module/Map/MapGenTownLayout.cs:166 (键 moor_objects/028  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/028.png)	manifest w×h=160×128 orientation=0；PNG 头部 160×128	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/manifest.json:478 (tile idx=28) + client/Assets/Resources/Clover/D2/Tiles/moor_objects/028.png
D2几何	tile:Tiles/moor_objects/028	落格生成（在区域 layout 中被引用）	阈值: 被引用 0 格 = 未接线	判据出处：client/Assets/Scripts/Module/Map/MapGenTownLayout.cs:166 (键 moor_objects/028  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/028.png)	被区域布局引用 2 处（client/Assets/Scripts/Module/Map/MapGenTownLayout.cs:166、client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2346）	一致	client/Assets/Scripts/Module/Map/MapGenTownLayout.cs:166
D2几何	tile:Tiles/moor_objects/029	存在（瓦片文件在盘）	阈值: 0 个文件 = 缺瓦片	判据出处：client/Assets/Scripts/Module/Map/MapGenTownLayout.cs:165 (键 moor_objects/029  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/029.png)	盘上存在 client/Assets/Resources/Clover/D2/Tiles/moor_objects/029.png（7543 字节）	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/029.png
D2几何	tile:Tiles/moor_objects/029	尺寸/朝向（manifest w h orientation）	边界: orientation 0 / 上限 15	判据出处：client/Assets/Scripts/Module/Map/MapGenTownLayout.cs:165 (键 moor_objects/029  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/029.png)	manifest w×h=160×128 orientation=0；PNG 头部 160×128	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/manifest.json:496 (tile idx=29) + client/Assets/Resources/Clover/D2/Tiles/moor_objects/029.png
D2几何	tile:Tiles/moor_objects/029	落格生成（在区域 layout 中被引用）	阈值: 被引用 0 格 = 未接线	判据出处：client/Assets/Scripts/Module/Map/MapGenTownLayout.cs:165 (键 moor_objects/029  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/029.png)	被区域布局引用 2 处（client/Assets/Scripts/Module/Map/MapGenTownLayout.cs:165、client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:2337）	一致	client/Assets/Scripts/Module/Map/MapGenTownLayout.cs:165
D2几何	tile:Tiles/moor_objects/030	存在（瓦片文件在盘）	阈值: 0 个文件 = 缺瓦片	判据出处：client/Assets/Scripts/Module/Map/MapGenTownLayout.cs:164 (键 moor_objects/030  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/030.png)	盘上存在 client/Assets/Resources/Clover/D2/Tiles/moor_objects/030.png（8033 字节）	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/030.png
D2几何	tile:Tiles/moor_objects/030	尺寸/朝向（manifest w h orientation）	边界: orientation 0 / 上限 15	判据出处：client/Assets/Scripts/Module/Map/MapGenTownLayout.cs:164 (键 moor_objects/030  ⇒ 盘上=client/Assets/Resources/Clover/D2/Tiles/moor_objects/030.png)	manifest w×h=160×128 orientation=0；PNG 头部 160×128	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/manifest.json:514 (tile idx=30) + client/Assets/Resources/Clover/D2/Tiles/moor_objects/030.png
